Method name,Class label,Insertion/Deletion,Smoothness,Time(log)
Vanilla Gradients,0,2.914,34.862,0.301029996
SmoothGrad,0,8.7,15.338,1.176091259
XRAI,0,7.447,9.613,2.049218023
Grad-CAM,0,3.738,7.839,0.0001
S-Grad-CAM,0,3.11,7.75,1.255272505
BlurIG,0,17.196,28.463,1.806179974
S-BlurIG,0,13.076,20.046,3.196728723
Vanilla Gradients,1,28.126,34.509,0.301029996
SmoothGrad,1,291.59,15.721,1.301029996
XRAI,1,210.437,9.653,2.158362492
Grad-CAM,1,30.717,7.757,0.0001
S-Grad-CAM,1,34.337,7.728,1.255272505
BlurIG,1,235.203,31.593,1.903089987
S-BlurIG,1,96.64,20.565,3.216693599
Vanilla Gradients,2,6.09,51.416,0.301029996
SmoothGrad,2,5.226,32.797,1.146128036
XRAI,2,2.705,10.719,2.071882007
Grad-CAM,2,2.527,6.94,0.0001
S-Grad-CAM,2,2.981,7.798,1.255272505
BlurIG,2,5.854,37.604,1.806179974
S-BlurIG,2,3.946,20.43,3.212453961
Vanilla Gradients,3,9.726,46.165,0.301029996
SmoothGrad,3,21.869,18.573,1.146128036
XRAI,3,16.025,9.726,2.064457989
Grad-CAM,3,33.707,7.181,0.0001
S-Grad-CAM,3,23.28,7.338,1.230448921
BlurIG,3,16.829,33.644,1.812913357
S-BlurIG,3,27.743,26.079,3.214048679
Vanilla Gradients,4,3.828,53.896,0.301029996
SmoothGrad,4,4.219,30.805,1.146128036
XRAI,4,1.996,9.492,2.049218023
Grad-CAM,4,3.476,6.198,0.0001
S-Grad-CAM,4,1.766,7.196,1.255272505
BlurIG,4,5.18,33.576,1.806179974
S-BlurIG,4,4.911,37.669,3.214048679
Vanilla Gradients,5,2.914,34.862,0.301029996
SmoothGrad,5,8.7,15.338,1.176091259
XRAI,5,7.447,9.613,2.049218023
Grad-CAM,5,3.738,7.839,0.0001
S-Grad-CAM,5,15.751,7.686,1.380211242
BlurIG,5,17.196,28.463,1.806179974
S-BlurIG,5,70.942,23.519,3.365862215
Vanilla Gradients,6,2.914,34.862,0.301029996
SmoothGrad,6,8.7,15.338,1.176091259
XRAI,6,7.447,9.613,2.049218023
Grad-CAM,6,3.738,7.839,0.0001
S-Grad-CAM,6,14.021,7.7,1.255272505
BlurIG,6,17.196,28.463,1.806179974
S-BlurIG,6,24.318,23.564,3.218797998
